sfdr fdr k th h2 pnc pc nc i j maf_l maf_u
NaN NaN all 0 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 7 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 4 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 4 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 4 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 4 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 4 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 4 0.01 0.05
0.5 0.5 all 0 0.2 0.2 0.2 100 1 3 0.01 0.05
0.5 0.5 all 0.2 0.2 0.2 0.2 100 1 3 0.01 0.05
0.5 0.5 all 0.4 0.2 0.2 0.2 100 1 3 0.01 0.05
0.5 0.5 all 0.6 0.2 0.2 0.2 100 1 3 0.01 0.05
0.5 0.5 all 0.8 0.2 0.2 0.2 100 1 3 0.01 0.05
0 0 all 0.9 0.2 0.2 0.2 100 1 3 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 1 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 6 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 8 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 2 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 100 1 10 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 100 1 10 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 100 1 10 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 100 1 10 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 100 1 10 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 100 1 10 0.01 0.05
1 1 all 0 0.2 0.2 0.2 100 1 5 0.01 0.05
1 1 all 0.2 0.2 0.2 0.2 100 1 5 0.01 0.05
1 1 all 0.4 0.2 0.2 0.2 100 1 5 0.01 0.05
1 1 all 0.6 0.2 0.2 0.2 100 1 5 0.01 0.05
1 1 all 0.8 0.2 0.2 0.2 100 1 5 0.01 0.05
1 1 all 0.9 0.2 0.2 0.2 100 1 5 0.01 0.05
0.5 0.5 all 0 0.2 0.2 0.2 100 1 9 0.01 0.05
0.5 0.5 all 0.2 0.2 0.2 0.2 100 1 9 0.01 0.05
0.571428571428571 0.571428571428571 all 0.4 0.2 0.2 0.2 100 1 9 0.01 0.05
0.666666666666667 0.666666666666667 all 0.6 0.2 0.2 0.2 100 1 9 0.01 0.05
0.666666666666667 0.666666666666667 all 0.8 0.2 0.2 0.2 100 1 9 0.01 0.05
0.75 0.75 all 0.9 0.2 0.2 0.2 100 1 9 0.01 0.05
0.59349593495935 0.588709677419355 all 0 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.608333333333333 0.603305785123967 all 0.2 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.629310344827586 0.623931623931624 all 0.4 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.688679245283019 0.682242990654206 all 0.6 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.744897959183674 0.737373737373737 all 0.8 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.863013698630137 0.863013698630137 all 0.9 0.2 0.2 0.2 1000 1 7 0.01 0.05
0.526881720430108 0.525773195876289 all 0 0.2 0.2 0.2 1000 1 4 0.01 0.05
0.532608695652174 0.53125 all 0.2 0.2 0.2 0.2 1000 1 4 0.01 0.05
0.569767441860465 0.566666666666667 all 0.4 0.2 0.2 0.2 1000 1 4 0.01 0.05
0.569767441860465 0.566666666666667 all 0.6 0.2 0.2 0.2 1000 1 4 0.01 0.05
0.597560975609756 0.593023255813954 all 0.8 0.2 0.2 0.2 1000 1 4 0.01 0.05
0.714285714285714 0.705882352941177 all 0.9 0.2 0.2 0.2 1000 1 4 0.01 0.05
NaN NaN all 0 0.2 0.2 0.2 1000 1 3 0.01 0.05
NaN NaN all 0.2 0.2 0.2 0.2 1000 1 3 0.01 0.05
NaN NaN all 0.4 0.2 0.2 0.2 1000 1 3 0.01 0.05
NaN NaN all 0.6 0.2 0.2 0.2 1000 1 3 0.01 0.05
NaN NaN all 0.8 0.2 0.2 0.2 1000 1 3 0.01 0.05
NaN NaN all 0.9 0.2 0.2 0.2 1000 1 3 0.01 0.05
0.561946902654867 0.561946902654867 all 0 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.585253456221198 0.585253456221198 all 0.2 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.628712871287129 0.628712871287129 all 0.4 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.651282051282051 0.651282051282051 all 0.6 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.679144385026738 0.679144385026738 all 0.8 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.881889763779528 0.881889763779528 all 0.9 0.2 0.2 0.2 1000 1 1 0.01 0.05
0.556521739130435 0.554585152838428 all 0 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.595348837209302 0.593457943925234 all 0.2 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.598130841121495 0.596244131455399 all 0.4 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.61244019138756 0.610576923076923 all 0.6 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.64 0.638190954773869 all 0.8 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.828125 0.826771653543307 all 0.9 0.2 0.2 0.2 1000 1 6 0.01 0.05
0.526315789473684 0.526717557251908 all 0 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.542635658914729 0.543307086614173 all 0.2 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.56 0.556451612903226 all 0.4 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.578512396694215 0.575 all 0.6 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.614035087719298 0.610619469026549 all 0.8 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.785714285714286 0.782608695652174 all 0.9 0.2 0.2 0.2 1000 1 5 0.01 0.05
0.535211267605634 0.539473684210526 all 0 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.567164179104478 0.569444444444444 all 0.2 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.584615384615385 0.585714285714286 all 0.4 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.612903225806452 0.630769230769231 all 0.6 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.666666666666667 0.683333333333333 all 0.8 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.763157894736842 0.780487804878049 all 0.9 0.2 0.2 0.2 1000 1 8 0.01 0.05
0.5 0.5 all 0 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.5 0.5 all 0.2 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.625 0.625 all 0.4 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.833333333333333 0.833333333333333 all 0.6 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.833333333333333 0.833333333333333 all 0.8 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.8 0.8 all 0.9 0.2 0.2 0.2 1000 1 2 0.01 0.05
0.508474576271186 0.516666666666667 all 0 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.508474576271186 0.516666666666667 all 0.2 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.508474576271186 0.516666666666667 all 0.4 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.535714285714286 0.543859649122807 all 0.6 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.588235294117647 0.596153846153846 all 0.8 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.633333333333333 0.67741935483871 all 0.9 0.2 0.2 0.2 1000 1 9 0.01 0.05
0.566265060240964 0.566265060240964 all 0 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.580246913580247 0.580246913580247 all 0.2 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.594936708860759 0.594936708860759 all 0.4 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.661971830985915 0.661971830985915 all 0.6 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.691176470588235 0.691176470588235 all 0.8 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.787234042553192 0.787234042553192 all 0.9 0.2 0.2 0.2 1000 1 10 0.01 0.05
0.587002096436059 0.586895585143658 all 0 0.2 0.2 0.2 5000 1 7 0.01 0.05
